semantics_id,sentence_id,hanji,lomaji,mandarin
658,46068,"""三跤貓笑一目狗。""","""Sann-kha-niau tshiò tsi̍t ba̍k káu.""","""三腳貓笑獨眼狗。即五十步笑百步。"""
659,46069,"""你真正有夠低路，連這款工課都袂曉做。""","""Lí tsin-tsiànn ū-kàu kē-lōo, liân tsit khuán khang-khuè to bē-hiáu tsò.""","""你真的很不中用，連這種工作都不會做。"""
660,46070,"""按這條大路直直去就到阮兜矣。""","""Àn tsit tiâu tuā-lōo ti̍t-ti̍t khì tō kàu guán tau--ah.""","""從這條大馬路一直走下去就到我家了。"""
661,46071,"""你著較大路咧，毋通遐凍霜。""","""Lí tio̍h khah tuā-lōo--leh, m̄-thang hiah tàng-sng.""","""你應該開朗大方一點，不要這麼小家子氣。"""
662,46072,"""這條小路真歹行。""","""Tsit tiâu sió-lōo tsin pháinn kiânn.""","""這條小徑很難走。"""
664,46073,"""時機遐䆀，三頓若顧會齊勻就誠佳哉矣。""","""Sî-ki hiah bái, sann tǹg nā kòo ē tsiâu-ûn tō tsiânn ka-tsài--ah.""","""景氣這麼差，三餐能溫飽就很慶幸了。"""
667,46074,"""阮阿公七十歲大壽的時陣，阮兜有辦桌請人。""","""Guán a-kong tshit-tsa̍p huè tuā-siū ê sî-tsūn, guán tau ū pān-toh tshiánn--lâng.""","""我爺爺七十歲生日的時候，我們家有開席宴客。"""
668,46075,"""你今仔五十歲爾爾，哪會未曾未就共大壽買好矣。""","""Lí tann-á gōo-tsa̍p huè niā-niā, ná ē buē-tsîng-buē tō kā tuā-siū bé hó--ah.""","""你才五十歲而已，怎麼就將棺木買好備用了。"""
669,46076,"""伊生做足大漢。""","""I senn-tsò tsiok tuā-hàn.""","""他長得很高大。"""
670,46077,"""囡仔若大漢，爸母就輕鬆矣。""","""Gín-á nā tuā-hàn, pē-bú tō khin-sang--ah.""","""兒子如果長大，父母就輕鬆了。"""
671,46078,"""伊是大漢的。""","""I sī tuā-hàn--ê.""","""他排行老大。"""
672,46079,"""伊傷大箍矣。""","""I siunn tuā-khoo--ah.""","""他太胖了。"""
673,46080,"""彼箍柴真大箍。""","""Hit khoo tshâ tsin tuā-khoo.""","""那根木頭很粗。"""
674,46081,"""一箍是大箍抑細箍？""","""Tsi̍t khoo sī tuā-khoo ia̍h sè-khoo?""","""是一萬還是一塊錢？"""
676,46082,"""這上緊嘛著愛到後日才會好。""","""Tse siōng kín mā tio̍h-ài kàu āu--ji̍t tsiah ē hó.""","""這最快也要到後天才能完成。"""
679,46083,"""上蓋媠""","""siōng-kài suí""","""最漂亮"""
679,46084,"""上蓋好""","""siōng-kài hó""","""最好"""
679,46085,"""上蓋𠢕""","""siōng-kài gâu""","""最厲害"""
683,46086,"""牽亡魂""","""khan-bông-hûn""","""牽引亡魂、通靈。是傳統喪禮的一部分。"""
688,46087,"""這過買的三層肉真好食。""","""Tsit-kuè bé ê sam-tsân-bah tsin hó-tsia̍h.""","""這次買的五花肉真好吃。"""
690,46088,"""這小數錢，毋免計較。""","""Tse sió-sòo tsînn, m̄-bián kè-kàu.""","""這些小額的金錢，不用計較。"""
692,46089,"""囡仔當咧拍干樂。""","""Gín-á tng-teh phah kan-lo̍k.""","""小孩子們正在玩陀螺。"""
693,61021,"""規日無閒甲若干樂咧。""","""Kui-ji̍t bô-îng kah ná kan-lo̍k--leh.""","""整天忙得像陀螺。"""
695,46090,"""彼个查某囡仔講話真大範。""","""Hit ê tsa-bóo gín-á kóng-uē tsin tuā-pān.""","""那個女孩子講話很大方、自然。"""
696,46091,"""彼領洋裝看著真大範。""","""Hit niá iûnn-tsong khuànn tio̍h tsin tuā-pān.""","""那件洋裝看起來很高雅，不會俗氣。"""
